,Histogram,coin,exchange
0,"(212.63, 1039.6484999999998, 53)",BTC,Bitfinex
1,"(1039.6484999999998, 1866.667, 7)",BTC,Bitfinex
2,"(1866.667, 2693.6854999999996, 4)",BTC,Bitfinex
3,"(2693.6854999999996, 3520.7039999999997, 2)",BTC,Bitfinex
4,"(3520.7039999999997, 4347.7225, 3)",BTC,Bitfinex
5,"(4347.7225, 5174.740999999999, 1)",BTC,Bitfinex
6,"(5174.740999999999, 6001.759499999999, 1)",BTC,Bitfinex
7,"(6001.759499999999, 6828.777999999999, 4)",BTC,Bitfinex
8,"(6828.777999999999, 7655.7964999999995, 4)",BTC,Bitfinex
9,"(7655.7964999999995, 8482.814999999999, 3)",BTC,Bitfinex
10,"(8482.814999999999, 9309.833499999999, 3)",BTC,Bitfinex
11,"(9309.833499999999, 10136.851999999997, 1)",BTC,Bitfinex
12,"(10136.851999999997, 10963.870499999997, 1)",BTC,Bitfinex
13,"(10963.870499999997, 11790.888999999997, 2)",BTC,Bitfinex
14,"(11790.888999999997, 12617.907499999998, 0)",BTC,Bitfinex
15,"(12617.907499999998, 13444.925999999998, 0)",BTC,Bitfinex
16,"(13444.925999999998, 14271.944499999998, 1)",BTC,Bitfinex
17,"(14271.944499999998, 15098.962999999998, 1)",BTC,Bitfinex
18,"(15098.962999999998, 15925.981499999998, 0)",BTC,Bitfinex
19,"(15925.981499999998, 16753.0, 1)",BTC,Bitfinex
