coin,exchange,unix_timestamp,time,open,high,low,close,volumefrom,volumeto,UPPER_BOLLINGER_BAND_VALUE,MIDDLE_BOLLINGER_BAND_VALUE,LOWER_BOLLINGER_BAND_VALUE
BTC,Bitfinex,1423440000,09-02-2015 00:00,224.22,225.0,215.4,220.61,29625.03,6493501.42,,,
BTC,Bitfinex,1423526400,10-02-2015 00:00,220.61,223.88,214.0,220.96,29268.95,6402350.57,,,
BTC,Bitfinex,1423612800,11-02-2015 00:00,220.96,224.4,218.1,219.19,19289.28,4268986.79,,,
BTC,Bitfinex,1423699200,12-02-2015 00:00,219.19,223.2,217.87,222.6,11190.65,2468883.37,,,
BTC,Bitfinex,1423785600,13-02-2015 00:00,222.39,241.76,221.46,236.0,29079.11,6806972.89,,,
BTC,Bitfinex,1423872000,14-02-2015 00:00,236.13,261.3,235.51,258.12,42984.94,10739014.48,,,
BTC,Bitfinex,1423958400,15-02-2015 00:00,257.0,266.84,228.2,234.14,71361.28,17384420.7,,,
BTC,Bitfinex,1424044800,16-02-2015 00:00,234.14,243.65,228.62,236.78,45750.85,10798751.12,,,
BTC,Bitfinex,1424131200,17-02-2015 00:00,236.78,246.28,231.5,242.87,42669.08,10228035.45,,,
BTC,Bitfinex,1424217600,18-02-2015 00:00,242.87,244.99,231.01,234.8,38588.38,9164141.83,,,
BTC,Bitfinex,1424304000,19-02-2015 00:00,234.8,243.42,234.62,241.9,22792.55,5446200.04,,,
BTC,Bitfinex,1424390400,20-02-2015 00:00,241.9,248.98,238.95,245.53,33337.97,8136342.67,,,
BTC,Bitfinex,1424476800,21-02-2015 00:00,245.53,247.73,243.28,245.1,16514.04,4052466.26,,,
BTC,Bitfinex,1424563200,22-02-2015 00:00,245.1,247.78,232.1,236.59,33394.5,7971863.56,,,
BTC,Bitfinex,1424649600,23-02-2015 00:00,236.59,241.0,232.61,239.73,23893.09,5666261.84,,,
BTC,Bitfinex,1424736000,24-02-2015 00:00,239.73,240.99,236.7,239.68,16784.31,4013461.44,,,
BTC,Bitfinex,1424822400,25-02-2015 00:00,239.68,240.83,235.53,238.0,13574.5,3230232.16,,,
BTC,Bitfinex,1424908800,26-02-2015 00:00,238.0,238.34,233.62,237.0,18691.43,4418655.89,,,
BTC,Bitfinex,1424995200,27-02-2015 00:00,237.0,262.8,236.64,256.4,69269.58,17536633.13,,,
BTC,Bitfinex,1425081600,28-02-2015 00:00,255.05,257.33,251.25,255.77,10695.34,2721373.29,,,
BTC,Bitfinex,1425168000,01-03-2015 00:00,255.7,265.0,245.65,261.15,24361.06,6156716.71,,,
BTC,Bitfinex,1425254400,02-03-2015 00:00,262.47,276.0,259.6,275.99,35351.14,9448438.14,,,
BTC,Bitfinex,1425340800,03-03-2015 00:00,277.3,294.0,267.04,283.2,75940.04,21157890.72,,,
BTC,Bitfinex,1425427200,04-03-2015 00:00,283.2,285.99,267.0,273.74,71328.67,19833718.19,,,
BTC,Bitfinex,1425513600,05-03-2015 00:00,273.74,284.99,262.0,278.51,67235.69,18281541.95,,,
BTC,Bitfinex,1425600000,06-03-2015 00:00,278.51,279.75,268.8,273.89,40490.63,11083898.02,,,
BTC,Bitfinex,1425686400,07-03-2015 00:00,273.89,280.76,270.55,275.95,22095.92,6096102.1,,,
