,Histogram_Close,Histogram_High,Histogram_Low,coin,exchange
0,"(212.63, 2112.3669999999997, 838)","(223.2, 2189.98, 834)","(162.0, 2008.0, 842)",BTC,Bitfinex
1,"(2112.3669999999997, 4012.104, 92)","(2189.98, 4156.76, 97)","(2008.0, 3854.0, 91)",BTC,Bitfinex
2,"(4012.104, 5911.840999999999, 62)","(4156.76, 6123.54, 61)","(3854.0, 5700.0, 60)",BTC,Bitfinex
3,"(5911.840999999999, 7811.5779999999995, 113)","(6123.54, 8090.32, 111)","(5700.0, 7546.0, 111)",BTC,Bitfinex
4,"(7811.5779999999995, 9711.314999999999, 88)","(8090.32, 10057.1, 91)","(7546.0, 9392.0, 95)",BTC,Bitfinex
5,"(9711.314999999999, 11611.051999999998, 44)","(10057.1, 12023.880000000001, 41)","(9392.0, 11238.0, 37)",BTC,Bitfinex
6,"(11611.051999999998, 13510.788999999999, 8)","(12023.880000000001, 13990.66, 6)","(11238.0, 13084.0, 17)",BTC,Bitfinex
7,"(13510.788999999999, 15410.525999999998, 18)","(13990.66, 15957.44, 19)","(13084.0, 14930.0, 16)",BTC,Bitfinex
8,"(15410.525999999998, 17310.263, 12)","(15957.44, 17924.22, 15)","(14930.0, 16776.0, 8)",BTC,Bitfinex
9,"(17310.263, 19210.0, 5)","(17924.22, 19891.0, 5)","(16776.0, 18622.0, 3)",BTC,Bitfinex
