coin,exchange,unix_timestamp,open,high,low,close,volumeto,volumefrom,time,UPPER_BOLLINGER_BAND_VALUE,MIDDLE_BOLLINGER_BAND_VALUE,LOWER_BOLLINGER_BAND_VALUE
BTC,Bitfinex,1423420200.0,224.22,225.0,215.4,220.61,6493501.42,29625.03,08-02-2015 18:30,,,
BTC,Bitfinex,1423679400.0,220.61,224.4,214.0,222.6,13140220.73,59748.88,11-02-2015 18:30,,,
BTC,Bitfinex,1423938600.0,222.39,266.84,221.46,234.14,34930408.07,143425.33000000002,14-02-2015 18:30,,,
BTC,Bitfinex,1424197800.0,234.14,246.28,228.62,234.8,30190928.4,127008.31,17-02-2015 18:30,,,
BTC,Bitfinex,1424457000.0,234.8,248.98,234.62,245.1,17635008.97,72644.56,20-02-2015 18:30,,,
BTC,Bitfinex,1424716200.0,245.1,247.78,232.1,239.68,17651586.84,74071.9,23-02-2015 18:30,,,
BTC,Bitfinex,1424975400.0,239.68,262.8,233.62,256.4,25185521.18,101535.51,26-02-2015 18:30,,,
BTC,Bitfinex,1425234600.0,255.05,276.0,245.65,275.99,18326528.14,70407.54000000001,01-03-2015 18:30,,,
BTC,Bitfinex,1425493800.0,277.3,294.0,262.0,278.51,59273150.86,214504.4,04-03-2015 18:30,,,
BTC,Bitfinex,1425753000.0,278.51,280.76,268.8,275.23,21239997.01,77316.37999999999,07-03-2015 18:30,,,
BTC,Bitfinex,1426012200.0,275.23,303.96,275.01,296.33,45524312.87,156041.93,10-03-2015 18:30,,,
BTC,Bitfinex,1426271400.0,296.33,298.8,281.36,283.0,28110768.16,96928.48,13-03-2015 18:30,,,
BTC,Bitfinex,1426530600.0,283.0,295.2,281.56,285.0,16748996.93,57996.17999999999,16-03-2015 18:30,,,
BTC,Bitfinex,1426789800.0,285.0,285.5,246.98,262.66,48026665.45,182630.55,19-03-2015 18:30,,,
BTC,Bitfinex,1427049000.0,262.66,271.5,255.1,266.78,15055218.93,56944.32,22-03-2015 18:30,,,
BTC,Bitfinex,1427308200.0,266.78,268.4,235.7,249.8,37359749.2,150496.58000000002,25-03-2015 18:30,,,
BTC,Bitfinex,1427567400.0,249.8,255.96,238.89,242.23,17870333.06,72217.92,28-03-2015 18:30,,,
BTC,Bitfinex,1427826600.0,242.23,250.98,236.24,246.43,18245966.18,74519.18,31-03-2015 18:30,,,
BTC,Bitfinex,1428085800.0,246.43,256.49,243.0,253.9,15494462.94,61542.49,03-04-2015 18:30,,,
BTC,Bitfinex,1428345000.0,253.9,262.45,251.55,254.92,14218827.97,55318.13000000001,06-04-2015 18:30,,,
BTC,Bitfinex,1428604200.0,254.92,254.99,230.75,234.99,24080274.09,99491.57,09-04-2015 18:30,,,
BTC,Bitfinex,1428863400.0,234.99,240.58,220.14,225.49,17222107.39,74665.02,12-04-2015 18:30,,,
BTC,Bitfinex,1429122600.0,225.49,230.0,216.37,228.3,20985359.14,94172.3,15-04-2015 18:30,,,
BTC,Bitfinex,1429381800.0,228.3,228.98,219.58,223.22,12640184.41,56516.33,18-04-2015 18:30,,,
BTC,Bitfinex,1429641000.0,223.22,238.99,221.24,234.53,16993828.86,73761.79000000001,21-04-2015 18:30,,,
BTC,Bitfinex,1429900200.0,234.53,237.22,225.35,226.02,10352058.5,44674.77,24-04-2015 18:30,,,
BTC,Bitfinex,1430159400.0,226.02,232.49,213.92,225.25,20792678.22,93584.82,27-04-2015 18:30,,,
BTC,Bitfinex,1430418600.0,225.25,240.89,222.66,232.8,16165830.18,69435.44,30-04-2015 18:30,,,
BTC,Bitfinex,1430677800.0,232.8,243.73,231.31,239.01,12722267.24,53251.51,03-05-2015 18:30,,,
BTC,Bitfinex,1430937000.0,239.01,239.79,226.42,237.52,23353771.39,100189.84,06-05-2015 18:30,,,
BTC,Bitfinex,1431196200.0,237.52,249.22,235.66,240.58,15321691.409999998,62949.72,09-05-2015 18:30,,,
BTC,Bitfinex,1431455400.0,240.58,245.49,234.22,236.4,13755270.1,57060.95,12-05-2015 18:30,,,
BTC,Bitfinex,1431714600.0,236.4,239.0,232.1,235.71,8337857.479999999,35272.18,15-05-2015 18:30,,,
BTC,Bitfinex,1431973800.0,235.71,238.24,229.0,231.76,5855235.51,25000.22,18-05-2015 18:30,,,
BTC,Bitfinex,1432233000.0,231.76,241.83,231.26,240.92,10457560.21,44262.57,21-05-2015 18:30,,,
BTC,Bitfinex,1432492200.0,240.92,242.98,236.1,236.9,5952526.22,24836.31,24-05-2015 18:30,,,
BTC,Bitfinex,1432751400.0,236.9,239.3,235.0,236.82,5641727.43,23789.06,27-05-2015 18:30,,,
BTC,Bitfinex,1433010600.0,236.82,237.16,227.0,228.59,7661644.119999999,32958.78,30-05-2015 18:30,,,
BTC,Bitfinex,1433269800.0,228.59,230.89,219.71,225.34,14687487.750000002,65474.98,02-06-2015 18:30,,,
BTC,Bitfinex,1433529000.0,225.34,229.23,222.64,224.68,7731594.1099999985,34411.12,05-06-2015 18:30,,,
BTC,Bitfinex,1433788200.0,224.68,232.07,222.29,229.52,14444100.36,63578.08,08-06-2015 18:30,,,
BTC,Bitfinex,1434047400.0,229.52,231.34,227.48,229.82,6886883.49,29995.41,11-06-2015 18:30,,,
BTC,Bitfinex,1434306600.0,229.82,238.16,228.4,237.18,9067222.41,38708.1,14-06-2015 18:30,,,
BTC,Bitfinex,1434565800.0,237.18,259.1,236.0,249.11,31160701.590000004,125202.18,17-06-2015 18:30,,,
BTC,Bitfinex,1434825000.0,249.11,252.13,240.0,243.82,13729618.69,56059.3,20-06-2015 18:30,,,
BTC,Bitfinex,1435084200.0,243.82,247.99,239.0,240.45,10988364.99,45033.38,23-06-2015 18:30,,,
BTC,Bitfinex,1435343400.0,240.45,251.77,239.5,251.47,9184377.24,37529.12,26-06-2015 18:30,,,
BTC,Bitfinex,1435602600.0,251.47,269.0,247.25,264.5,24389416.76,94616.65,29-06-2015 18:30,,,
BTC,Bitfinex,1435861800.0,264.5,264.81,252.11,255.38,13051002.76,50832.79,02-07-2015 18:30,,,
BTC,Bitfinex,1436121000.0,255.38,278.69,253.57,272.0,3463776.56,51634.05,05-07-2015 18:30,,,
BTC,Bitfinex,1436380200.0,272.0,272.0,272.0,272.0,0.0,0.0,08-07-2015 18:30,,,
BTC,Bitfinex,1436639400.0,272.0,316.23,272.0,311.51,19074692.58,62465.74,11-07-2015 18:30,,,
BTC,Bitfinex,1436898600.0,311.51,312.0,281.5,284.0,34440659.14,118172.23,14-07-2015 18:30,,,
BTC,Bitfinex,1437157800.0,284.0,295.0,272.0,277.31,26683721.15,95134.73,17-07-2015 18:30,,,
