,Histogram_Close,Histogram_High,Histogram_Low,coin,exchange
0,"(220.61, 2119.549, 279)","(224.4, 2191.06, 278)","(162.0, 1785.8, 277)",BTC,Bitfinex
1,"(2119.549, 4018.488, 33)","(2191.06, 4157.719999999999, 32)","(1785.8, 3409.6, 31)",BTC,Bitfinex
2,"(4018.488, 5917.426999999999, 18)","(4157.719999999999, 6124.379999999999, 20)","(3409.6, 5033.4, 19)",BTC,Bitfinex
3,"(5917.426999999999, 7816.365999999999, 38)","(6124.379999999999, 8091.039999999999, 37)","(5033.4, 6657.2, 31)",BTC,Bitfinex
4,"(7816.365999999999, 9715.305, 30)","(8091.039999999999, 10057.699999999999, 31)","(6657.2, 8281.0, 32)",BTC,Bitfinex
5,"(9715.305, 11614.243999999999, 16)","(10057.699999999999, 12024.359999999999, 13)","(8281.0, 9904.8, 18)",BTC,Bitfinex
6,"(11614.243999999999, 13513.182999999999, 1)","(12024.359999999999, 13991.019999999999, 3)","(9904.8, 11528.6, 8)",BTC,Bitfinex
7,"(13513.182999999999, 15412.122, 8)","(13991.019999999999, 15957.679999999998, 5)","(11528.6, 13152.4, 7)",BTC,Bitfinex
8,"(15412.122, 17311.060999999998, 3)","(15957.679999999998, 17924.34, 7)","(13152.4, 14776.199999999999, 2)",BTC,Bitfinex
9,"(17311.060999999998, 19210.0, 2)","(17924.34, 19891.0, 2)","(14776.199999999999, 16400.0, 3)",BTC,Bitfinex
