,Histogram_Close,Histogram_High,Histogram_Low,coin,exchange
0,"(5865.4, 6120.04, 9)","(5960.0, 6214.26, 7)","(5755.0, 5996.75, 7)",BTC,Bitfinex
1,"(6120.04, 6374.679999999999, 23)","(6214.26, 6468.52, 23)","(5996.75, 6238.5, 16)",BTC,Bitfinex
2,"(6374.679999999999, 6629.32, 26)","(6468.52, 6722.780000000001, 25)","(6238.5, 6480.25, 30)",BTC,Bitfinex
3,"(6629.32, 6883.959999999999, 18)","(6722.780000000001, 6977.04, 19)","(6480.25, 6722.0, 24)",BTC,Bitfinex
4,"(6883.959999999999, 7138.599999999999, 6)","(6977.04, 7231.3, 6)","(6722.0, 6963.75, 6)",BTC,Bitfinex
5,"(7138.599999999999, 7393.24, 9)","(7231.3, 7485.56, 8)","(6963.75, 7205.5, 3)",BTC,Bitfinex
6,"(7393.24, 7647.879999999999, 26)","(7485.56, 7739.820000000001, 32)","(7205.5, 7447.25, 24)",BTC,Bitfinex
7,"(7647.879999999999, 7902.5199999999995, 13)","(7739.820000000001, 7994.08, 8)","(7447.25, 7689.0, 18)",BTC,Bitfinex
8,"(7902.5199999999995, 8157.16, 3)","(7994.08, 8248.34, 4)","(7689.0, 7930.75, 6)",BTC,Bitfinex
9,"(8157.16, 8411.8, 10)","(8248.34, 8502.6, 11)","(7930.75, 8172.5, 9)",BTC,Bitfinex
