coin,exchange,unix_timestamp,time,open,high,low,close,volumefrom,volumeto,UPPER_BOLLINGER_BAND_VALUE,MIDDLE_BOLLINGER_BAND_VALUE,LOWER_BOLLINGER_BAND_VALUE
BTC,Bitfinex,1527577200,29-05-2018 07:00,7089.5,7161.2,7089.4,7145.0,1653.21,11797033.97,,,
BTC,Bitfinex,1527580800,29-05-2018 08:00,7145.0,7145.0,7099.9,7116.9,717.26,5106301.87,,,
BTC,Bitfinex,1527584400,29-05-2018 09:00,7116.9,7124.0,7095.0,7122.6,523.04,3719525.14,,,
BTC,Bitfinex,1527588000,29-05-2018 10:00,7122.6,7196.3,7116.0,7175.8,1904.78,13631922.93,,,
BTC,Bitfinex,1527591600,29-05-2018 11:00,7175.8,7496.51,7175.8,7390.7,6159.06,45199881.21,,,
BTC,Bitfinex,1527595200,29-05-2018 12:00,7390.7,7441.7,7382.6,7403.7,1424.96,10557941.02,,,
BTC,Bitfinex,1527598800,29-05-2018 13:00,7403.7,7472.3,7402.5,7446.6,1387.66,10314868.09,,,
BTC,Bitfinex,1527602400,29-05-2018 14:00,7446.6,7473.0,7397.1,7418.8,624.21,4634068.85,,,
BTC,Bitfinex,1527606000,29-05-2018 15:00,7418.8,7433.9,7392.4,7424.9,675.57,5007678.11,,,
BTC,Bitfinex,1527609600,29-05-2018 16:00,7424.9,7451.3,7417.9,7422.9,629.91,4679167.24,,,
BTC,Bitfinex,1527613200,29-05-2018 17:00,7422.9,7511.9,7408.2,7505.3,936.05,6983175.36,,,
BTC,Bitfinex,1527616800,29-05-2018 18:00,7505.3,7536.0,7435.0,7450.2,1831.56,13709754.2,,,
BTC,Bitfinex,1527620400,29-05-2018 19:00,7450.2,7470.0,7445.3,7469.9,346.05,2581905.21,,,
BTC,Bitfinex,1527624000,29-05-2018 20:00,7469.9,7531.2,7464.0,7494.3,569.1,4268061.24,,,
BTC,Bitfinex,1527627600,29-05-2018 21:00,7494.3,7504.2,7470.8,7491.0,294.34,2203882.18,,,
BTC,Bitfinex,1527631200,29-05-2018 22:00,7491.0,7494.5,7396.1,7421.8,1163.87,8654883.88,,,
BTC,Bitfinex,1527634800,29-05-2018 23:00,7421.8,7471.2,7399.9,7465.2,488.1,3629675.89,,,
BTC,Bitfinex,1527638400,30-05-2018 00:00,7465.2,7515.0,7441.9,7482.8,492.31,3682792.98,,,
BTC,Bitfinex,1527642000,30-05-2018 01:00,7482.8,7560.0,7482.8,7507.8,1082.9,8154545.34,,,
BTC,Bitfinex,1527645600,30-05-2018 02:00,7507.8,7549.9,7497.5,7505.2,813.02,6107090.34,7655.799421,7393.07,7130.340579000002
BTC,Bitfinex,1527649200,30-05-2018 03:00,7505.2,7505.2,7470.7,7487.0,506.08,3790072.15,7649.573284,7410.17,7170.766716
BTC,Bitfinex,1527652800,30-05-2018 04:00,7487.0,7507.4,7459.0,7483.3,237.79,1779078.12,7628.088556000002,7428.49,7228.891444
BTC,Bitfinex,1527656400,30-05-2018 05:00,7483.3,7514.2,7483.3,7499.22,195.34,1465106.04,7591.223625,7447.321,7303.418375
BTC,Bitfinex,1527660000,30-05-2018 06:00,7499.22,7552.0,7435.0,7459.1,1729.75,12978957.26,7533.516514,7461.486,7389.455486
BTC,Bitfinex,1527663600,30-05-2018 07:00,7459.1,7497.2,7448.0,7486.3,370.84,2771003.23,7531.2122599999975,7466.266,7401.319740000001
BTC,Bitfinex,1527667200,30-05-2018 08:00,7486.3,7490.0,7451.0,7476.0,399.62,2985317.18,7528.205892,7469.880999999998,7411.556108
BTC,Bitfinex,1527670800,30-05-2018 09:00,7476.0,7513.5,7462.2,7495.28,494.57,3702510.46,7530.613512000001,7472.315,7414.0164879999975
BTC,Bitfinex,1527674400,30-05-2018 10:00,7495.28,7515.0,7470.3,7498.0,639.33,4788313.83,7530.081718,7476.275,7422.468281999999
BTC,Bitfinex,1527678000,30-05-2018 11:00,7498.0,7550.0,7488.1,7508.1,1259.12,9457138.44,7530.441284,7480.435,7430.428715999998
BTC,Bitfinex,1527681600,30-05-2018 12:00,7508.1,7539.8,7500.0,7519.0,921.6,6926491.8,7530.447001,7485.24,7440.032998999999
BTC,Bitfinex,1527685200,30-05-2018 13:00,7519.0,7520.1,7495.0,7508.3,1100.04,8257257.13,7530.881262000001,7485.39,7439.898738
BTC,Bitfinex,1527688800,30-05-2018 14:00,7508.3,7508.5,7362.5,7386.7,4018.77,29925817.86,7543.283883,7482.215,7421.146117
BTC,Bitfinex,1527692400,30-05-2018 15:00,7386.7,7386.7,7312.7,7330.0,2310.87,16968595.76,7565.426639,7475.22,7385.013361
BTC,Bitfinex,1527696000,30-05-2018 16:00,7330.0,7352.5,7270.5,7300.9,1669.89,12198335.9,7582.886633,7465.55,7348.213367
BTC,Bitfinex,1527699600,30-05-2018 17:00,7300.9,7324.1,7287.0,7319.0,608.93,4448425.32,7589.757701,7456.95,7324.142298999999
BTC,Bitfinex,1527703200,30-05-2018 18:00,7319.0,7321.1,7284.4,7297.8,606.03,4427806.95,7600.091104000001,7450.75,7301.408895999999
BTC,Bitfinex,1527706800,30-05-2018 19:00,7297.8,7319.9,7279.0,7311.6,452.44,3301963.47,7603.997374,7443.07,7282.142626000003
BTC,Bitfinex,1527710400,30-05-2018 20:00,7311.6,7346.0,7309.1,7338.5,612.82,4493372.71,7601.869087999998,7435.855,7269.840912000002
BTC,Bitfinex,1527714000,30-05-2018 21:00,7338.5,7345.0,7324.7,7335.3,227.01,1665319.77,7595.307838,7427.23,7259.152162
BTC,Bitfinex,1527717600,30-05-2018 22:00,7335.3,7355.3,7330.0,7350.0,347.44,2551905.98,7586.761123,7419.47,7252.178876999998
BTC,Bitfinex,1527721200,30-05-2018 23:00,7350.0,7395.5,7350.0,7375.12,857.07,6319893.09,7579.231595,7413.876,7248.5204049999975
BTC,Bitfinex,1527724800,31-05-2018 00:00,7375.12,7375.2,7342.4,7369.2,366.09,2694142.9,7571.411728,7408.170999999998,7244.930272
BTC,Bitfinex,1527728400,31-05-2018 01:00,7369.2,7369.3,7338.0,7347.9,262.82,1931495.18,7560.251773999998,7400.605,7240.9582260000025
BTC,Bitfinex,1527732000,31-05-2018 02:00,7347.9,7351.2,7340.0,7341.0,135.42,994718.79,7553.991665,7394.7,7235.408334999999
BTC,Bitfinex,1527735600,31-05-2018 03:00,7341.0,7374.9,7341.0,7364.7,344.06,2534021.23,7542.658492,7388.62,7234.581508
BTC,Bitfinex,1527739200,31-05-2018 04:00,7364.7,7499.1,7360.5,7489.1,1586.21,11778414.08,7544.897409,7389.275,7233.652591
BTC,Bitfinex,1527742800,31-05-2018 05:00,7489.1,7518.0,7473.3,7497.2,782.18,5860420.76,7545.257004000001,7389.371,7233.484995999999
