,Histogram_Close,Histogram_High,Histogram_Low,coin,exchange
0,"(5777.0, 6042.99, 41)","(5860.1, 6124.35, 74)","(5755.0, 6018.06, 45)",BTC,Bitfinex
1,"(6042.99, 6308.98, 225)","(6124.35, 6388.6, 284)","(6018.06, 6281.12, 225)",BTC,Bitfinex
2,"(6308.98, 6574.969999999999, 306)","(6388.6, 6652.85, 297)","(6281.12, 6544.18, 293)",BTC,Bitfinex
3,"(6574.969999999999, 6840.96, 310)","(6652.85, 6917.1, 232)","(6544.18, 6807.24, 318)",BTC,Bitfinex
4,"(6840.96, 7106.95, 6)","(6917.1, 7181.35, 3)","(6807.24, 7070.3, 8)",BTC,Bitfinex
5,"(7106.95, 7372.94, 80)","(7181.35, 7445.6, 113)","(7070.3, 7333.360000000001, 74)",BTC,Bitfinex
6,"(7372.94, 7638.929999999999, 282)","(7445.6, 7709.85, 311)","(7333.360000000001, 7596.42, 254)",BTC,Bitfinex
7,"(7638.929999999999, 7904.92, 141)","(7709.85, 7974.1, 85)","(7596.42, 7859.4800000000005, 173)",BTC,Bitfinex
8,"(7904.92, 8170.91, 62)","(7974.1, 8238.35, 99)","(7859.4800000000005, 8122.540000000001, 53)",BTC,Bitfinex
9,"(8170.91, 8436.9, 107)","(8238.35, 8502.6, 62)","(8122.540000000001, 8385.6, 117)",BTC,Bitfinex
