coin,exchange,unix_timestamp,open,high,low,close,volumeto,volumefrom,time
BTC,Bitfinex,1527561000.0,7089.5,7161.2,7089.4,7116.9,16903335.84,2370.4700000000003,29-05-2018 02:30
BTC,Bitfinex,1527575400.0,7116.9,7496.51,7095.0,7403.7,73109270.3,10011.84,29-05-2018 06:30
BTC,Bitfinex,1527589800.0,7403.7,7473.0,7392.4,7422.9,24635782.29,3317.35,29-05-2018 10:30
BTC,Bitfinex,1527604200.0,7422.9,7536.0,7408.2,7494.3,27542896.009999998,3682.7599999999998,29-05-2018 14:30
BTC,Bitfinex,1527618600.0,7494.3,7515.0,7396.1,7482.8,18171234.93,2438.62,29-05-2018 18:30
BTC,Bitfinex,1527633000.0,7482.8,7560.0,7459.0,7483.3,19830785.95,2639.79,29-05-2018 22:30
BTC,Bitfinex,1527647400.0,7483.3,7552.0,7435.0,7476.0,20200383.71,2695.5499999999997,30-05-2018 02:30
BTC,Bitfinex,1527661800.0,7476.0,7550.0,7462.2,7519.0,24874454.529999997,3314.62,30-05-2018 06:30
BTC,Bitfinex,1527676200.0,7519.0,7520.1,7270.5,7300.9,67350006.65,9099.57,30-05-2018 10:30
BTC,Bitfinex,1527690600.0,7300.9,7346.0,7279.0,7338.5,16671568.45,2280.2200000000003,30-05-2018 14:30
BTC,Bitfinex,1527705000.0,7338.5,7395.5,7324.7,7369.2,13231261.74,1797.61,30-05-2018 18:30
BTC,Bitfinex,1527719400.0,7369.2,7499.1,7338.0,7489.1,17238649.28,2328.51,30-05-2018 22:30
BTC,Bitfinex,1527733800.0,7489.1,7599.7,7473.3,7544.5,29510404.91,3908.41,31-05-2018 02:30
BTC,Bitfinex,1527748200.0,7544.5,7575.0,7487.7,7543.1,20730621.71,2750.07,31-05-2018 06:30
BTC,Bitfinex,1527762600.0,7543.1,7584.8,7501.0,7547.5,19842024.999999996,2630.1,31-05-2018 10:30
BTC,Bitfinex,1527777000.0,7547.5,7599.7,7518.76,7535.6,21224119.119999997,2807.35,31-05-2018 14:30
BTC,Bitfinex,1527791400.0,7535.6,7562.1,7413.84,7505.4,36878383.78,4932.849999999999,31-05-2018 18:30
BTC,Bitfinex,1527805800.0,7505.4,7520.0,7439.9,7480.5,15729510.23,2102.19,31-05-2018 22:30
BTC,Bitfinex,1527820200.0,7480.5,7599.8,7478.9,7596.8,33359445.799999997,4411.25,01-06-2018 02:30
BTC,Bitfinex,1527834600.0,7596.8,7597.0,7329.19,7407.1,44523795.989999995,5981.37,01-06-2018 06:30
BTC,Bitfinex,1527849000.0,7407.1,7452.2,7394.0,7443.0,21440229.96,2888.2999999999997,01-06-2018 10:30
BTC,Bitfinex,1527863400.0,7443.0,7455.0,7390.0,7442.4,12183169.57,1641.8799999999999,01-06-2018 14:30
BTC,Bitfinex,1527877800.0,7442.4,7542.7,7427.5,7470.8,13442048.43,1793.69,01-06-2018 18:30
BTC,Bitfinex,1527892200.0,7470.8,7518.0,7465.7,7488.3,4376818.870000001,584.06,01-06-2018 22:30
BTC,Bitfinex,1527906600.0,7488.3,7697.0,7460.5,7654.07,44733198.23,5869.0199999999995,02-06-2018 02:30
BTC,Bitfinex,1527921000.0,7654.07,7684.0,7615.6,7639.6,17596286.12,2300.86,02-06-2018 06:30
BTC,Bitfinex,1527935400.0,7639.6,7698.8,7590.0,7631.1,20716308.630000003,2714.18,02-06-2018 10:30
BTC,Bitfinex,1527949800.0,7631.1,7680.5,7608.0,7619.7,25800907.91,3371.7699999999995,02-06-2018 14:30
BTC,Bitfinex,1527964200.0,7619.7,7662.2,7614.5,7650.1,7693788.960000001,1007.9100000000001,02-06-2018 18:30
BTC,Bitfinex,1527978600.0,7650.1,7668.07,7600.0,7645.4,10734154.76,1405.65,02-06-2018 22:30
BTC,Bitfinex,1527993000.0,7645.4,7779.0,7639.3,7740.0,35512008.18,4592.570000000001,03-06-2018 02:30
BTC,Bitfinex,1528007400.0,7740.0,7748.9,7684.3,7712.6,16014535.590000002,2075.1899999999996,03-06-2018 06:30
BTC,Bitfinex,1528021800.0,7712.6,7739.9,7680.9,7704.0,14919964.610000001,1934.35,03-06-2018 10:30
BTC,Bitfinex,1528036200.0,7704.0,7738.9,7630.0,7724.1,19026188.59,2473.4700000000003,03-06-2018 14:30
BTC,Bitfinex,1528050600.0,7724.1,7764.0,7689.3,7716.7,14058408.309999999,1821.1,03-06-2018 18:30
BTC,Bitfinex,1528065000.0,7716.7,7718.0,7667.3,7702.5,7349651.2,954.94,03-06-2018 22:30
BTC,Bitfinex,1528079400.0,7702.5,7702.5,7548.9,7602.0,39641436.65,5202.27,04-06-2018 02:30
BTC,Bitfinex,1528093800.0,7602.0,7620.0,7485.0,7531.1,34325435.58,4547.02,04-06-2018 06:30
BTC,Bitfinex,1528108200.0,7531.1,7531.2,7465.2,7486.1,18106864.66,2416.38,04-06-2018 10:30
BTC,Bitfinex,1528122600.0,7486.1,7519.0,7451.1,7519.0,15278513.719999999,2040.55,04-06-2018 14:30
BTC,Bitfinex,1528137000.0,7519.0,7538.0,7458.48,7495.9,13776438.53,1835.7800000000002,04-06-2018 18:30
BTC,Bitfinex,1528151400.0,7495.9,7505.3,7372.0,7382.7,21922797.62,2955.12,04-06-2018 22:30
BTC,Bitfinex,1528165800.0,7382.7,7469.6,7372.0,7454.7,19378856.3,2610.5199999999995,05-06-2018 02:30
BTC,Bitfinex,1528180200.0,7454.7,7454.7,7405.6,7408.4,7472099.02,1005.4200000000001,05-06-2018 06:30
BTC,Bitfinex,1528194600.0,7412.0,7599.7,7404.7,7565.9,25993828.67,3458.05,05-06-2018 10:30
BTC,Bitfinex,1528209000.0,7565.9,7675.0,7564.7,7628.6,24305686.18,3189.2700000000004,05-06-2018 14:30
BTC,Bitfinex,1528223400.0,7628.6,7638.7,7550.2,7611.8,24681943.08,3249.0,05-06-2018 18:30
BTC,Bitfinex,1528237800.0,7611.8,7643.3,7596.0,7596.1,13644229.709999999,1790.65,05-06-2018 22:30
BTC,Bitfinex,1528252200.0,7596.1,7698.0,7566.1,7622.0,26074729.080000002,3420.88,06-06-2018 02:30
BTC,Bitfinex,1528266600.0,7622.0,7677.6,7584.4,7657.4,12906688.38,1693.06,06-06-2018 06:30
BTC,Bitfinex,1528281000.0,7657.4,7690.0,7500.4,7520.8,25851575.64,3402.09,06-06-2018 10:30
BTC,Bitfinex,1528295400.0,7520.8,7654.0,7491.7,7612.57,27058924.82,3588.78,06-06-2018 14:30
BTC,Bitfinex,1528309800.0,7612.57,7740.0,7610.8,7730.0,22498537.310000002,2931.86,06-06-2018 18:30
BTC,Bitfinex,1528324200.0,7730.0,7756.3,7700.0,7708.9,24205590.769999996,3132.4,06-06-2018 22:30
BTC,Bitfinex,1528338600.0,7708.9,7735.9,7674.0,7697.3,10529947.12,1366.3899999999999,07-06-2018 02:30
BTC,Bitfinex,1528353000.0,7697.3,7726.0,7680.0,7707.5,7951857.75,1032.8300000000002,07-06-2018 06:30
BTC,Bitfinex,1528367400.0,7707.5,7720.3,7651.0,7720.3,14030556.83,1824.3400000000001,07-06-2018 10:30
BTC,Bitfinex,1528381800.0,7720.3,7752.8,7624.7,7661.6,13159733.600000001,1712.83,07-06-2018 14:30
BTC,Bitfinex,1528396200.0,7661.6,7697.0,7649.2,7696.9,5715621.59,745.23,07-06-2018 18:30
BTC,Bitfinex,1528410600.0,7696.9,7696.9,7597.1,7634.8,17062983.310000002,2231.3100000000004,07-06-2018 22:30
BTC,Bitfinex,1528425000.0,7634.8,7658.0,7600.0,7629.9,11554921.18,1514.96,08-06-2018 02:30
BTC,Bitfinex,1528439400.0,7629.9,7634.5,7543.6,7559.2,19723278.72,2603.0,08-06-2018 06:30
BTC,Bitfinex,1528453800.0,7559.2,7663.7,7550.0,7652.0,30687077.14,4036.46,08-06-2018 10:30
BTC,Bitfinex,1528468200.0,7652.0,7657.4,7633.0,7649.28,4580433.529999999,599.0699999999999,08-06-2018 14:30
BTC,Bitfinex,1528482600.0,7649.28,7663.0,7609.2,7634.0,8908361.54,1166.71,08-06-2018 18:30
BTC,Bitfinex,1528497000.0,7634.0,7685.0,7630.0,7658.1,5696748.529999999,743.7600000000001,08-06-2018 22:30
BTC,Bitfinex,1528511400.0,7658.1,7680.4,7630.0,7630.0,4079743.04,532.76,09-06-2018 02:30
BTC,Bitfinex,1528525800.0,7630.0,7660.04,7593.2,7608.3,8130803.010000001,1065.45,09-06-2018 06:30
BTC,Bitfinex,1528540200.0,7608.3,7629.5,7570.47,7587.6,10019915.030000001,1318.48,09-06-2018 10:30
BTC,Bitfinex,1528554600.0,7587.6,7637.6,7575.0,7634.2,4112228.64,540.79,09-06-2018 14:30
BTC,Bitfinex,1528569000.0,7634.2,7634.3,7266.4,7270.1,48817568.0,6567.959999999999,09-06-2018 18:30
BTC,Bitfinex,1528583400.0,7270.1,7384.8,7267.0,7282.6,35216238.089999996,4815.06,09-06-2018 22:30
BTC,Bitfinex,1528597800.0,7282.6,7316.0,7175.0,7212.7,42330159.0,5853.33,10-06-2018 02:30
BTC,Bitfinex,1528612200.0,7212.7,7253.2,7205.0,7227.9,13942231.24,1928.0500000000002,10-06-2018 06:30
BTC,Bitfinex,1528626600.0,7227.9,7278.9,7175.0,7191.8,15914697.77,2202.45,10-06-2018 10:30
BTC,Bitfinex,1528641000.0,7191.8,7202.3,6630.0,6702.7,179694505.24,26341.85,10-06-2018 14:30
BTC,Bitfinex,1528655400.0,6702.7,6768.4,6655.0,6714.4,48560395.58,7235.650000000001,10-06-2018 18:30
BTC,Bitfinex,1528669800.0,6714.4,6807.3,6689.4,6772.1,24950571.76,3698.2100000000005,10-06-2018 22:30
BTC,Bitfinex,1528684200.0,6772.1,6821.1,6629.7,6783.0,27374249.54,4067.0199999999995,11-06-2018 02:30
BTC,Bitfinex,1528698600.0,6783.0,6803.0,6723.0,6764.1,16986227.11,2513.4700000000003,11-06-2018 06:30
BTC,Bitfinex,1528713000.0,6764.1,6766.3,6636.7,6728.0,31040773.27,4627.07,11-06-2018 10:30
BTC,Bitfinex,1528727400.0,6728.0,6800.3,6675.0,6753.4,26601663.28,3946.34,11-06-2018 14:30
BTC,Bitfinex,1528741800.0,6753.4,6899.0,6745.0,6842.8,23091589.22,3379.67,11-06-2018 18:30
BTC,Bitfinex,1528756200.0,6842.8,6865.4,6784.1,6815.7,21261212.88,3109.86,11-06-2018 22:30
BTC,Bitfinex,1528770600.0,6815.7,6868.6,6796.5,6849.08,17662265.43,2586.29,12-06-2018 02:30
BTC,Bitfinex,1528785000.0,6849.08,6850.0,6683.18,6722.4,17672259.11,2598.57,12-06-2018 06:30
BTC,Bitfinex,1528799400.0,6722.4,6778.7,6667.0,6729.1,29865467.990000002,4438.49,12-06-2018 10:30
BTC,Bitfinex,1528813800.0,6729.1,6746.3,6436.1,6522.34,75220036.92,11471.38,12-06-2018 14:30
BTC,Bitfinex,1528828200.0,6522.34,6572.3,6480.0,6543.9,35692746.43,5473.110000000001,12-06-2018 18:30
BTC,Bitfinex,1528842600.0,6543.9,6588.5,6517.45,6584.9,11874536.030000001,1812.7600000000002,12-06-2018 22:30
BTC,Bitfinex,1528857000.0,6584.9,6611.7,6500.0,6522.7,23687024.919999998,3612.01,13-06-2018 02:30
BTC,Bitfinex,1528871400.0,6522.7,6536.2,6370.0,6456.3,54196538.48,8403.72,13-06-2018 06:30
BTC,Bitfinex,1528885800.0,6456.3,6484.8,6107.88,6278.6,114831095.0,18255.489999999998,13-06-2018 10:30
BTC,Bitfinex,1528900200.0,6278.6,6368.8,6225.0,6259.5,45424767.9,7223.550000000001,13-06-2018 14:30
BTC,Bitfinex,1528914600.0,6259.5,6349.5,6214.26,6273.2,24311453.11,3863.0199999999995,13-06-2018 18:30
BTC,Bitfinex,1528929000.0,6273.2,6535.8,6269.6,6469.2,34757135.42,5407.08,13-06-2018 22:30
BTC,Bitfinex,1528943400.0,6469.2,6550.0,6435.7,6484.1,28057474.78,4324.98,14-06-2018 02:30
BTC,Bitfinex,1528957800.0,6484.1,6538.0,6468.8,6486.0,16380945.9,2518.17,14-06-2018 06:30
BTC,Bitfinex,1528972200.0,6486.0,6555.2,6322.0,6521.1,49676955.71,7740.17,14-06-2018 10:30
BTC,Bitfinex,1528986600.0,6521.1,6736.52,6496.7,6650.3,47863889.55,7227.999999999999,14-06-2018 14:30
BTC,Bitfinex,1529001000.0,6650.3,6709.14,6580.0,6614.3,19051269.79,2873.6800000000003,14-06-2018 18:30
BTC,Bitfinex,1529015400.0,6614.3,6618.5,6550.3,6559.9,16203973.95,2463.21,14-06-2018 22:30
BTC,Bitfinex,1529029800.0,6559.9,6615.0,6550.2,6589.5,13682262.2,2079.7799999999997,15-06-2018 02:30
BTC,Bitfinex,1529044200.0,6589.5,6659.0,6450.0,6502.73,31069776.93,4751.13,15-06-2018 06:30
BTC,Bitfinex,1529058600.0,6502.73,6632.81,6476.3,6555.1,17807013.740000002,2724.84,15-06-2018 10:30
BTC,Bitfinex,1529073000.0,6555.1,6566.6,6450.0,6494.6,17939917.41,2759.08,15-06-2018 14:30
BTC,Bitfinex,1529087400.0,6494.6,6497.8,6350.0,6394.7,33726841.51,5264.79,15-06-2018 18:30
BTC,Bitfinex,1529101800.0,6394.7,6457.3,6384.2,6425.0,5733922.890000001,892.8,15-06-2018 22:30
BTC,Bitfinex,1529116200.0,6425.0,6477.0,6425.0,6447.9,9860094.33,1527.3099999999997,16-06-2018 02:30
BTC,Bitfinex,1529130600.0,6453.1,6499.7,6413.2,6432.9,16641818.969999999,2576.87,16-06-2018 06:30
BTC,Bitfinex,1529145000.0,6432.9,6548.0,6330.0,6517.5,29175642.95,4544.719999999999,16-06-2018 10:30
BTC,Bitfinex,1529159400.0,6517.5,6545.8,6485.0,6523.8,13266973.73,2035.54,16-06-2018 14:30
BTC,Bitfinex,1529173800.0,6523.8,6559.7,6466.0,6507.6,10142524.5,1554.9499999999998,16-06-2018 18:30
BTC,Bitfinex,1529188200.0,6507.6,6552.9,6501.7,6528.3,5733846.640000001,878.02,16-06-2018 22:30
BTC,Bitfinex,1529202600.0,6528.3,6573.0,6490.6,6504.2,9690322.17,1484.23,17-06-2018 02:30
BTC,Bitfinex,1529217000.0,6504.2,6523.0,6440.0,6455.6,11015506.34,1696.2800000000002,17-06-2018 06:30
BTC,Bitfinex,1529231400.0,6455.6,6523.0,6425.1,6500.1,9892756.9,1527.21,17-06-2018 10:30
BTC,Bitfinex,1529245800.0,6500.1,6540.0,6469.3,6489.9,8047811.59,1237.6100000000001,17-06-2018 14:30
BTC,Bitfinex,1529260200.0,6489.9,6502.4,6370.77,6401.72,19477426.119999997,3027.58,17-06-2018 18:30
BTC,Bitfinex,1529274600.0,6401.72,6465.4,6377.7,6407.6,13676862.57,2131.56,17-06-2018 22:30
BTC,Bitfinex,1529289000.0,6407.6,6500.6,6386.0,6464.5,12405722.06,1926.62,18-06-2018 02:30
BTC,Bitfinex,1529303400.0,6464.5,6484.8,6390.0,6420.0,13132145.040000001,2042.4900000000002,18-06-2018 06:30
BTC,Bitfinex,1529317800.0,6420.0,6699.7,6401.0,6643.3,40254708.02,6120.75,18-06-2018 10:30
BTC,Bitfinex,1529332200.0,6643.3,6827.9,6643.2,6730.1,55165091.660000004,8189.889999999999,18-06-2018 14:30
BTC,Bitfinex,1529346600.0,6730.1,6734.5,6699.1,6720.2,10319770.68,1536.17,18-06-2018 18:30
BTC,Bitfinex,1529361000.0,6720.2,6720.2,6680.0,6704.2,8359854.24,1247.99,18-06-2018 22:30
BTC,Bitfinex,1529375400.0,6704.2,6727.0,6655.0,6695.6,23842343.9,3564.73,19-06-2018 02:30
BTC,Bitfinex,1529389800.0,6695.6,6789.0,6691.0,6761.8,34244277.879999995,5080.77,19-06-2018 06:30
BTC,Bitfinex,1529404200.0,6761.8,6848.2,6666.0,6709.6,33517873.14,4969.34,19-06-2018 10:30
BTC,Bitfinex,1529418600.0,6709.6,6749.0,6681.0,6699.9,8244314.22,1227.53,19-06-2018 14:30
BTC,Bitfinex,1529433000.0,6699.9,6747.0,6670.0,6670.1,7985895.68,1190.05,19-06-2018 18:30
BTC,Bitfinex,1529447400.0,6670.1,6678.9,6560.0,6596.8,31216456.29,4729.89,19-06-2018 22:30
BTC,Bitfinex,1529461800.0,6596.8,6645.0,6590.0,6635.0,8931167.559999999,1349.98,20-06-2018 02:30
BTC,Bitfinex,1529476200.0,6635.0,6665.0,6609.7,6618.4,8181146.52,1233.92,20-06-2018 06:30
BTC,Bitfinex,1529490600.0,6618.4,6825.0,6592.0,6751.0,50969187.06,7564.13,20-06-2018 10:30
BTC,Bitfinex,1529505000.0,6751.0,6773.6,6724.6,6752.0,8608167.47,1274.6,20-06-2018 14:30
BTC,Bitfinex,1529519400.0,6752.0,6780.0,6701.0,6754.3,14707713.93,2183.67,20-06-2018 18:30
BTC,Bitfinex,1529533800.0,6754.3,6788.8,6744.5,6761.5,6877456.590000001,1016.4900000000001,20-06-2018 22:30
BTC,Bitfinex,1529548200.0,6761.5,6770.2,6723.0,6726.9,14887520.26,2208.5,21-06-2018 02:30
BTC,Bitfinex,1529562600.0,6726.9,6783.11,6679.3,6716.0,16713813.58,2483.87,21-06-2018 06:30
BTC,Bitfinex,1529577000.0,6716.0,6750.0,6687.2,6724.6,15398607.34,2292.73,21-06-2018 10:30
BTC,Bitfinex,1529591400.0,6724.6,6733.9,6693.2,6715.5,8821668.63,1314.19,21-06-2018 14:30
BTC,Bitfinex,1529605800.0,6715.5,6750.0,6705.0,6719.0,6782521.88,1009.3,21-06-2018 18:30
BTC,Bitfinex,1529620200.0,6719.0,6722.2,6616.34,6657.8,22053802.71,3310.33,21-06-2018 22:30
BTC,Bitfinex,1529634600.0,6657.8,6672.0,6352.1,6403.1,62132317.79000001,9541.31,22-06-2018 02:30
BTC,Bitfinex,1529649000.0,6403.1,6403.31,6286.3,6334.1,46256269.690000005,7289.47,22-06-2018 06:30
BTC,Bitfinex,1529663400.0,6334.1,6336.8,6075.0,6171.8,89408272.36999999,14502.66,22-06-2018 10:30
BTC,Bitfinex,1529677800.0,6171.8,6240.0,6008.0,6051.0,42475251.67,6949.9,22-06-2018 14:30
BTC,Bitfinex,1529692200.0,6051.0,6171.6,5910.8,6129.2,83634418.28,13904.589999999998,22-06-2018 18:30
BTC,Bitfinex,1529706600.0,6129.2,6148.9,6077.3,6101.2,12696718.930000002,2075.64,22-06-2018 22:30
BTC,Bitfinex,1529721000.0,6101.2,6128.1,6013.0,6074.6,21431160.61,3530.08,23-06-2018 02:30
BTC,Bitfinex,1529735400.0,6074.6,6163.6,6074.0,6116.5,21792581.21,3561.8500000000004,23-06-2018 06:30
BTC,Bitfinex,1529749800.0,6116.5,6146.0,6060.4,6116.7,21050286.54,3450.39,23-06-2018 10:30
BTC,Bitfinex,1529764200.0,6116.7,6163.3,6099.9,6125.4,16612059.8,2709.28,23-06-2018 14:30
BTC,Bitfinex,1529778600.0,6125.4,6259.0,6096.0,6117.7,24661350.0,3986.63,23-06-2018 18:30
BTC,Bitfinex,1529793000.0,6117.7,6125.8,5874.0,5898.6,47057741.12,7849.22,23-06-2018 22:30
BTC,Bitfinex,1529807400.0,5898.6,5926.8,5800.0,5839.1,51451002.2,8790.74,24-06-2018 02:30
BTC,Bitfinex,1529821800.0,5839.1,5920.0,5838.1,5900.0,20606759.5,3502.06,24-06-2018 06:30
BTC,Bitfinex,1529836200.0,5900.0,6230.5,5755.0,6194.3,92956790.02000001,15611.59,24-06-2018 10:30
BTC,Bitfinex,1529850600.0,6194.3,6249.7,6129.38,6184.9,38874924.62,6285.56,24-06-2018 14:30
BTC,Bitfinex,1529865000.0,6184.9,6194.8,6105.0,6158.9,17509594.79,2846.52,24-06-2018 18:30
BTC,Bitfinex,1529879400.0,6158.9,6186.0,6107.4,6137.8,14328424.36,2333.2,24-06-2018 22:30
BTC,Bitfinex,1529893800.0,6137.8,6199.7,6124.3,6156.9,19395546.66,3148.07,25-06-2018 02:30
BTC,Bitfinex,1529908200.0,6156.9,6245.3,6068.5,6106.6,40509716.78,6566.25,25-06-2018 06:30
BTC,Bitfinex,1529922600.0,6106.6,6341.0,6078.7,6275.04,58891141.379999995,9463.54,25-06-2018 10:30
BTC,Bitfinex,1529937000.0,6275.04,6298.0,6238.0,6251.1,21980810.31,3510.2,25-06-2018 14:30
BTC,Bitfinex,1529951400.0,6251.1,6269.7,6190.0,6197.1,16498555.0,2648.0699999999997,25-06-2018 18:30
BTC,Bitfinex,1529965800.0,6197.1,6255.0,6191.3,6243.5,7671783.959999999,1232.4,25-06-2018 22:30
BTC,Bitfinex,1529980200.0,6243.5,6280.8,6192.0,6217.1,13919601.729999999,2233.3599999999997,26-06-2018 02:30
BTC,Bitfinex,1529994600.0,6217.1,6227.92,6162.1,6208.2,14712370.26,2372.35,26-06-2018 06:30
BTC,Bitfinex,1530009000.0,6208.2,6240.0,6121.0,6181.9,27728253.639999997,4490.61,26-06-2018 10:30
BTC,Bitfinex,1530023400.0,6181.9,6205.0,6160.9,6181.0,9906101.25,1602.6299999999999,26-06-2018 14:30
BTC,Bitfinex,1530037800.0,6181.0,6261.7,6026.0,6087.1,40093240.03,6554.5599999999995,26-06-2018 18:30
BTC,Bitfinex,1530052200.0,6087.1,6114.0,6035.5,6060.2,12374051.870000001,2036.65,26-06-2018 22:30
