coin,exchange,unix_timestamp,open,high,low,close,volumeto,volumefrom,time,UPPER_BOLLINGER_BAND_VALUE,MIDDLE_BOLLINGER_BAND_VALUE,LOWER_BOLLINGER_BAND_VALUE
BTC,Bitfinex,1527575400.0,7089.5,7496.51,7089.4,7403.7,90012606.14,12382.31,29-05-2018 06:30,,,
BTC,Bitfinex,1527597000.0,7403.7,7536.0,7392.4,7450.2,45328711.85,6084.959999999999,29-05-2018 12:30,,,
BTC,Bitfinex,1527618600.0,7450.2,7531.2,7396.1,7482.8,25021201.380000006,3353.7699999999995,29-05-2018 18:30,,,
BTC,Bitfinex,1527640200.0,7482.8,7560.0,7435.0,7459.1,34274849.25,4564.88,30-05-2018 00:30,,,
BTC,Bitfinex,1527661800.0,7459.1,7550.0,7448.0,7519.0,30630774.94,4085.08,30-05-2018 06:30,,,
BTC,Bitfinex,1527683400.0,7519.0,7520.1,7270.5,7297.8,76226238.92,10314.53,30-05-2018 12:30,,,
BTC,Bitfinex,1527705000.0,7297.8,7395.5,7279.0,7369.2,21026597.92,2862.870000000001,30-05-2018 18:30,,,
BTC,Bitfinex,1527726600.0,7369.2,7599.7,7338.0,7570.1,37135608.6,4964.29,31-05-2018 00:30,,,
BTC,Bitfinex,1527748200.0,7570.1,7593.0,7487.7,7543.1,30344067.3,4022.7,31-05-2018 06:30,,,
BTC,Bitfinex,1527769800.0,7543.1,7599.7,7501.0,7560.0,31223274.46,4132.64,31-05-2018 12:30,,,
BTC,Bitfinex,1527791400.0,7560.0,7566.0,7413.84,7505.4,46721253.44,6237.659999999999,31-05-2018 18:30,,,
BTC,Bitfinex,1527813000.0,7505.4,7574.0,7439.9,7540.0,27278120.93,3636.33,01-06-2018 00:30,,,
BTC,Bitfinex,1527834600.0,7540.0,7599.8,7329.19,7407.1,66334631.09,8858.48,01-06-2018 06:30,,,
BTC,Bitfinex,1527856200.0,7407.1,7452.2,7390.0,7401.2,28593129.99,3852.93,01-06-2018 12:30,,,
BTC,Bitfinex,1527877800.0,7401.2,7542.7,7399.6,7470.8,18472317.970000006,2470.94,01-06-2018 18:30,,,
BTC,Bitfinex,1527899400.0,7470.8,7684.0,7460.5,7657.3,29432804.91,3886.04,02-06-2018 00:30,,,
BTC,Bitfinex,1527921000.0,7657.3,7697.0,7615.6,7639.6,37273498.31,4867.9,02-06-2018 06:30,,,
BTC,Bitfinex,1527942600.0,7639.6,7698.8,7590.0,7653.3,33666339.18,4408.09,02-06-2018 12:30,,,
BTC,Bitfinex,1527964200.0,7653.3,7680.5,7608.0,7650.1,20544666.32,2685.77,02-06-2018 18:30,,,
BTC,Bitfinex,1527985800.0,7650.1,7779.0,7600.0,7723.0,32276278.78,4192.480000000001,03-06-2018 00:30,7733.648163691887,7515.140000000001,7296.631836308115
BTC,Bitfinex,1528007400.0,7723.0,7770.9,7684.3,7712.6,29984419.75,3880.93,03-06-2018 06:30,7758.852258055115,7530.585000000001,7302.317741944887
BTC,Bitfinex,1528029000.0,7712.6,7739.9,7664.7,7686.6,24353544.39,3161.5999999999995,03-06-2018 12:30,7777.187618394124,7542.405000000002,7307.622381605879
BTC,Bitfinex,1528050600.0,7686.6,7764.0,7630.0,7716.7,23651017.12,3067.32,03-06-2018 18:30,7798.9284787356255,7554.100000000001,7309.271521264377
BTC,Bitfinex,1528072200.0,7716.7,7718.0,7548.9,7576.3,38324444.32,5017.03,04-06-2018 00:30,7800.993594339047,7559.960000000001,7318.9264056609545
BTC,Bitfinex,1528093800.0,7576.3,7627.3,7485.0,7531.1,42992079.11,5687.2,04-06-2018 06:30,7801.2447978643,7560.5650000000005,7319.885202135701
BTC,Bitfinex,1528115400.0,7531.1,7531.2,7451.1,7495.0,26101686.62,3486.03,04-06-2018 12:30,7781.585013970449,7570.425,7359.264986029551
