,coin,exchange,unix_timestamp,close,bid_amount_btc_total,ask_amount_btc_total,BID_ASK_VOLUME_DIFFERENCE
0,XWC,Bittrex,1531699200,1.6899999999999997e-05,5.168246892670581,10.32968366039162,-5.161436767721039
0,XDN,Bittrex,1531699200,8.5e-07,4.753632879459437,7.120867160239572,-2.367234280780135
0,EMC2,Bittrex,1531699200,1.92e-05,4.2037833930535236,4.253475874897917,-0.04969248184439312
0,THC,Bittrex,1531699200,8.49e-06,6.586436922920778,4.640941278158055,1.9454956447627234
0,VTR,Bittrex,1531699200,9.26e-06,0.6988709756449264,0.24809988612273465,0.45077108952219175
0,CURE,Bittrex,1531699200,2.8999999999999997e-05,0.3570508645992614,0.5890353489176213,-0.23198448431835994
0,ENRG,Bittrex,1531699200,5.07e-06,2.1164696704359254,0.9402961340660969,1.1761735363698285
0,KORE,Bittrex,1531699200,0.00021830000000000002,2.0344760882018296,2.812606528920238,-0.7781304407184084
0,PINK,Bittrex,1531699200,1.69e-06,0.91358272093409,0.233110333873571,0.6804723870605189
0,RBY,Bittrex,1531699200,3.98e-05,0.4785715471680792,0.3010073384568906,0.1775642087111886
0,RDD,Bittrex,1531699200,6.5e-07,39.60913594667323,108.05335706869451,-68.44422112202128
0,ABY,Bittrex,1531699200,5.9e-07,0.9325171970420523,1.2466784444037065,-0.3141612473616542
0,BAY,Bittrex,1531699200,4.31e-06,5.321677950732026,6.9921783021025625,-1.6705003513705368
0,BLOCK,Bittrex,1531699200,0.0017,25.552809787327266,4.233887126142606,21.31892266118466
0,CLOAK,Binance,1531699200,0.0005524,6.915284601999999,4.971953624999999,1.9433309769999996
0,CLOAK,Bittrex,1531699200,0.0005558,4.095402599189666,1.406070172143079,2.689332427046587
0,DOPE,Bittrex,1531699200,2.8e-06,1.334488625573774,1.1721322741506164,0.16235635142315763
0,FTC,Bittrex,1531699200,1.25e-05,4.7778015837311925,3.840409313914769,0.9373922698164234
0,IOC,Bittrex,1531699200,6.879999999999999e-05,2.0310488753730715,1.0261999788093987,1.0048488965636728
0,MONA,Bittrex,1531699200,0.0003407,2.4236692457532003,3.075415470308836,-0.6517462245556356
0,SYS,Binance,1531699200,2.2899999999999998e-05,14.243264800000004,5.642546000000001,8.600718800000003
0,SYS,Bittrex,1531699200,2.27e-05,14.585433083240643,8.578098573574822,6.007334509665821
0,VRC,Bittrex,1531699200,4.3e-05,2.835938211625613,1.4563242667713063,1.3796139448543068
0,XLM,Binance,1531699200,3.48e-05,28.75746171999999,24.396180489999985,4.361281230000007
0,XLM,Bittrex,1531699200,3.47e-05,30.806714096142564,24.72345399408832,6.083260102054243
0,XMG,Bittrex,1531699200,1.76e-05,0.2037517076530071,0.338170122293057,-0.1344184146400499
0,XMY,Bittrex,1531699200,5.4e-07,1.94235688711406,2.1230676625175064,-0.1807107754034465
0,BLK,Bittrex,1531699200,2e-05,1.8284190100616322,1.413259154958088,0.41515985510354425
0,BURST,Bittrex,1531699200,2.03e-06,2.617113628121604,2.147977850640167,0.46913577748143664
0,BYC,Bittrex,1531699200,5.6999999999999996e-05,0.24845430123911705,0.3008968852655172,-0.052442584026400174
0,CANN,Bittrex,1531699200,3.53e-06,1.5394527975635235,1.2663678751823724,0.2730849223811511
0,DGB,Bittrex,1531699200,6.12e-06,101.26560856967068,179.71179810627046,-78.44618953659979
0,DGB,Kucoin,1531699200,6.15e-06,2.24683543465,1.001143874181,1.245691560469
0,DOGE,Bittrex,1531699200,3.8e-07,86.55969313796061,85.72214215971059,0.8375509782500217
0,EFL,Bittrex,1531699200,1.15e-05,0.4877908177713118,0.6316175363779497,-0.14382671860663793
0,EXCL,Bittrex,1531699200,6.17e-05,2.187235560114585,1.2787953593914325,0.9084402007231527
0,LTC,Binance,1531699200,0.0123,17.01055992,26.997710599999998,-9.98715068
0,LTC,Bittrex,1531699200,0.01234,28.447736395465235,14.262247181108393,14.185489214356842
0,LTC,Kucoin,1531699200,0.012320000000000001,0.39023183048541,0.38808572278964,0.0021461076957700054
0,NAV,Binance,1531699200,6.159999999999999e-05,11.03798289,7.075968308999998,3.9620145810000027
0,NAV,Bittrex,1531699200,6.21e-05,3.721175359495679,3.8990380941252103,-0.17786273462953117
0,NEOS,Bittrex,1531699200,0.000248,0.6857256207091297,0.37316380830071805,0.31256181240841163
0,NLG,Bittrex,1531699200,8.76e-06,3.9758329598171476,3.7747835587375245,0.2010494010796231
0,NXT,Bittrex,1531699200,1.3300000000000001e-05,5.132821805429363,14.763252892825898,-9.630431087396534
0,POT,Bittrex,1531699200,6.96e-06,1.281559029166497,1.5029134265962332,-0.22135439742973606
0,PTC,Bittrex,1531699200,3.35e-06,0.7136063890641263,0.1868592353206538,0.5267471537434725
0,SLR,Bittrex,1531699200,2.3199999999999998e-05,0.8970600685931351,1.182933166052945,-0.2858730974598098
0,SPR,Bittrex,1531699200,3.6e-05,1.9692398393771573,0.7714142407596742,1.197825598617483
0,TRUST,Bittrex,1531699200,4.54e-06,0.5900279661955541,0.2509678479028723,0.3390601182926818
0,VIA,Binance,1531699200,0.0001706,4.967430506000003,7.491613364000001,-2.524182857999998
0,VIA,Bittrex,1531699200,0.00016969999999999998,36.473585284037725,2.640902657914682,33.832682626123045
0,VTC,Bittrex,1531699200,0.0001384,2.9796549090532594,6.148749194248659,-3.1690942851954
0,XMR,Binance,1531699200,0.01944,7.710873971000001,9.420903543999996,-1.7100295729999955
0,XMR,Bittrex,1531699200,0.01937,21.39664639858796,30.740154315036357,-9.343507916448395
0,XRP,Binance,1531699200,7e-05,36.08007842000001,26.654803309999995,9.425275110000012
0,XRP,Bittrex,1531699200,6.979999999999999e-05,27.420633848855687,23.250900786609343,4.169733062246344
0,XST,Bittrex,1531699200,2.7600000000000003e-05,0.4222492525240828,0.2646336141604546,0.15761563836362819
0,XCP,Bittrex,1531699200,0.0011769999999999999,4.91706992659316,1.0261965321137743,3.890873394479386
0,BITB,Bittrex,1531699200,5.1e-07,5.140900562870522,10.550567225357893,-5.409666662487371
0,GEO,Bittrex,1531699200,0.00011520000000000001,0.6222116091515963,0.8035322890312486,-0.18132067987965228
0,FLDC,Bittrex,1531699200,1.21e-06,4.714420736692112,1.6717100332396195,3.0427107034524927
0,GRC,Bittrex,1531699200,4.02e-06,2.738206965594234,0.3624385405070483,2.3757684250871853
0,FLO,Bittrex,1531699200,5.79e-06,1.6131968886545494,1.443450432169953,0.1697464564845963
0,DASH,Binance,1531699200,0.03588,12.684661977999998,7.9660472849999975,4.718614693
0,DASH,Bittrex,1531699200,0.03576,28.46737546100408,25.77263899432737,2.694736466676712
0,DASH,Kucoin,1531699200,0.03614,0.2146000509049997,0.37350292774340194,-0.15890287683840223
0,CLAM,Bittrex,1531699200,0.0004125,2.0088839981540954,1.5009502547481188,0.5079337434059765
0,NBT,Bittrex,1531699200,3.17e-05,1.522488573240861,0.9833329339106185,0.5391556393302426
0,XEM,Binance,1531699200,2.54e-05,15.23835074,9.1354939,6.102856839999999
0,XEM,Bittrex,1531699200,2.56e-05,19.304456899486706,15.380097391903796,3.92435950758291
0,DMD,Bittrex,1531699200,0.00047729999999999995,6.518256769240731,0.4967004910894518,6.021556278151279
0,MUE,Bittrex,1531699200,1.01e-05,4.281853912531969,0.9775053359545349,3.304348576577434
0,GAM,Bittrex,1531699200,0.0006891,3.1430961492866607,0.1282986268067442,3.0147975224799164
