coin,exchange,unix_timestamp,open,high,low,close,volumeto,volumefrom,time
PXI,Cryptopia,1495737000.0,7.3e-07,1.06e-06,7.3e-07,7.9e-07,0.1082,103743.57,25-05-2017 18:30
PXI,Cryptopia,1496946600.0,7.9e-07,2.5e-06,6.5e-07,1.18e-06,1.276446,1081993.99,08-06-2017 18:30
PXI,Cryptopia,1498156200.0,1.18e-06,1.8e-06,9.000000000000002e-07,9.8e-07,0.818464,671349.62,22-06-2017 18:30
PXI,Cryptopia,1499365800.0,9.8e-07,2.5e-06,5.8e-07,2.04e-06,1.464137,1060634.7200000002,06-07-2017 18:30
PXI,Cryptopia,1500575400.0,2.04e-06,5.03e-06,1.75e-06,3.68e-06,9.9119,2985450.82,20-07-2017 18:30
PXI,Cryptopia,1501785000.0,3.68e-06,4.32e-06,1.36e-06,1.41e-06,2.6362099999999997,807554.5499999998,03-08-2017 18:30
PXI,Cryptopia,1502994600.0,1.41e-06,4.7e-06,1.35e-06,2.89e-06,3.42883,1078865.27,17-08-2017 18:30
PXI,Cryptopia,1504204200.0,2.89e-06,2.91e-06,1.35e-06,1.8e-06,0.8318000000000001,400511.08,31-08-2017 18:30
PXI,Cryptopia,1505413800.0,1.46e-06,1.79e-06,1.09e-06,1.51e-06,0.24825360000000002,180016.05,14-09-2017 18:30
PXI,Cryptopia,1506623400.0,1.51e-06,2.1e-06,1.12e-06,1.52e-06,0.44165800000000005,308685.73000000004,28-09-2017 18:30
PXI,Cryptopia,1507833000.0,1.52e-06,2e-06,1e-06,1e-06,1.059442,781563.37,12-10-2017 18:30
PXI,Cryptopia,1509042600.0,1e-06,1.01e-06,3.9e-07,5.3e-07,0.25411829999999996,370300.82999999996,26-10-2017 18:30
PXI,Cryptopia,1510252200.0,5.3e-07,1.4e-06,3.9e-07,4.9e-07,0.361379,591283.39,09-11-2017 18:30
PXI,Cryptopia,1511461800.0,4.9e-07,8.4e-07,4.8e-07,5.3e-07,0.21844300000000003,330483.46,23-11-2017 18:30
PXI,Cryptopia,1512671400.0,5.3e-07,1.14e-06,3.8e-07,4.8e-07,0.583756,928111.76,07-12-2017 18:30
PXI,Cryptopia,1513881000.0,4.8e-07,1e-06,4.8e-07,7e-07,0.576521,698134.7000000001,21-12-2017 18:30
PXI,Cryptopia,1515090600.0,7e-07,5.82e-06,7e-07,2.55e-06,7.78221,2891678.5799999996,04-01-2018 18:30
PXI,Cryptopia,1516300200.0,2.55e-06,6.5e-06,1.85e-06,2.25e-06,11.1076,2904136.9900000007,18-01-2018 18:30
PXI,Cryptopia,1517509800.0,2.25e-06,3.65e-06,2.11e-06,2.21e-06,4.354209999999999,1621473.66,01-02-2018 18:30
PXI,Cryptopia,1518719400.0,2.21e-06,4.53e-06,2.11e-06,2.32e-06,3.8287499999999994,1257986.6099999999,15-02-2018 18:30
PXI,Cryptopia,1519929000.0,2.32e-06,4e-06,1.72e-06,1.72e-06,1.8420300000000003,726058.04,01-03-2018 18:30
PXI,Cryptopia,1521138600.0,1.72e-06,1.95e-06,1e-06,1.05e-06,1.27613,955272.03,15-03-2018 18:30
PXI,Cryptopia,1522348200.0,1.05e-06,1.25e-06,7.7e-07,1e-06,0.55449,542998.47,29-03-2018 18:30
PXI,Cryptopia,1523557800.0,1e-06,1.28e-06,9.1e-07,1.07e-06,0.38585,380599.98,12-04-2018 18:30
PXI,Cryptopia,1524767400.0,1.07e-06,1.64e-06,9.7e-07,9.7e-07,0.89252,780560.73,26-04-2018 18:30
PXI,Cryptopia,1525977000.0,9.7e-07,1.6e-06,9.7e-07,1.17e-06,1.109651,860603.62,10-05-2018 18:30
PXI,Cryptopia,1527186600.0,1.17e-06,1.45e-06,9.2e-07,9.8e-07,1.07288,993266.5599999999,24-05-2018 18:30
PXI,Cryptopia,1528396200.0,9.8e-07,1.2e-06,6.6e-07,7.5e-07,0.512752,567787.78,07-06-2018 18:30
PXI,Cryptopia,1529605800.0,7.8e-07,8e-07,6.1e-07,7.1e-07,0.18442299,255382.49,21-06-2018 18:30
PXI,Cryptopia,1530815400.0,7.1e-07,8.6e-07,3.8e-07,7e-07,0.487921,707177.0000000001,05-07-2018 18:30
PXI,Cryptopia,1532025000.0,7e-07,8e-07,5.7e-07,5.9e-07,0.19360900000000003,300783.55,19-07-2018 18:30
BENJI,Cryptopia,1495737000.0,2.4e-07,2.4e-07,1.5e-07,2.3e-07,0.08429,429467.92,25-05-2017 18:30
BENJI,Cryptopia,1496946600.0,2.3e-07,5e-07,1.4e-07,3.4e-07,15.677400000000002,70472889.69999999,08-06-2017 18:30
BENJI,Cryptopia,1498156200.0,3.4e-07,5e-07,1.9e-07,2.8e-07,1.8530649999999997,6021791.24,22-06-2017 18:30
BENJI,Cryptopia,1499365800.0,2.8e-07,3.1e-07,6e-08,2e-07,0.3775160000000001,2166420.09,06-07-2017 18:30
BENJI,Cryptopia,1500575400.0,2e-07,2.49e-06,1.8e-07,6e-07,5.016591999999999,6404656.9,20-07-2017 18:30
BENJI,Cryptopia,1501785000.0,6e-07,2.9e-06,3.2e-07,4.8e-07,6.781289999999998,5790150.130000001,03-08-2017 18:30
BENJI,Cryptopia,1502994600.0,4.8e-07,7.1e-07,1.7e-07,3.5e-07,1.149641,3220329.42,17-08-2017 18:30
BENJI,Cryptopia,1504204200.0,3.5e-07,7e-07,3.2e-07,4.2e-07,0.5254461,1145310.33,31-08-2017 18:30
BENJI,Cryptopia,1505413800.0,3.8e-07,4e-07,3e-07,3.1e-07,0.317314,879119.5299999999,14-09-2017 18:30
BENJI,Cryptopia,1506623400.0,3.1e-07,7.7e-07,2.2e-07,5e-07,0.84282,1784997.84,28-09-2017 18:30
BENJI,Cryptopia,1507833000.0,5e-07,5.8e-07,3.2e-07,3.4e-07,0.3102404,750124.86,12-10-2017 18:30
BENJI,Cryptopia,1509042600.0,3.4e-07,3.4e-07,1.2e-07,2.8e-07,0.1382316,649071.8,26-10-2017 18:30
BENJI,Cryptopia,1510252200.0,2.8e-07,2.9e-07,1.5e-07,1.8e-07,0.15244470000000002,707310.18,09-11-2017 18:30
BENJI,Cryptopia,1511461800.0,1.8e-07,2.8e-07,1.5e-07,1.8e-07,0.30335560000000006,1452994.0099999995,23-11-2017 18:30
BENJI,Cryptopia,1512671400.0,1.8e-07,2.7e-07,1.3e-07,2e-07,0.299634,1568085.6800000002,07-12-2017 18:30
BENJI,Cryptopia,1513881000.0,2e-07,2.5e-07,1.6e-07,2e-07,0.12385349999999999,567071.46,21-12-2017 18:30
BENJI,Cryptopia,1515090600.0,2e-07,7.9e-07,1.2e-07,6.1e-07,1.2774699999999999,3184261.2,04-01-2018 18:30
BENJI,Cryptopia,1516300200.0,6.1e-07,1.99e-06,5.7e-07,1.31e-06,6.17925,5004494.59,18-01-2018 18:30
BENJI,Cryptopia,1517509800.0,1.31e-06,2.98e-06,4.5e-07,7.2e-07,9.726370000000001,7616479.22,01-02-2018 18:30
