id,bid_amount,bid_amount_btc,bid_price,ask_amount,ask_amount_btc,ask_price,coin,exchange,timestamp
1,1757.35258546,0.030279185047475798,1.723e-05,3500.0,0.060375,1.725e-05,XWC,Bittrex,
2,21.88275088,0.0003728820749952,1.704e-05,64.05469105,0.001113270530449,1.738e-05,XWC,Bittrex,
3,126.85111655,0.002138709825033,1.686e-05,103.1527145,0.0018134247209100002,1.758e-05,XWC,Bittrex,
4,10997.98891417,0.1853161132037645,1.685e-05,80.69142039,0.0014242035698835,1.765e-05,XWC,Bittrex,
5,4871.50126563,0.08179250624992769,1.679e-05,3421.23871879,0.060453288161019296,1.767e-05,XWC,Bittrex,
6,45761.81519765,0.7674256408645905,1.677e-05,409.83606557,0.0072459016392776,1.768e-05,XWC,Bittrex,
7,1546.0,0.025910959999999997,1.676e-05,81.25058979,0.0014373229333850999,1.769e-05,XWC,Bittrex,
8,1546.0,0.025895500000000002,1.675e-05,424.03883147,0.0075054873170189995,1.77e-05,XWC,Bittrex,
9,1546.0,0.02588004,1.674e-05,5956.83351029,0.10549552146723591,1.771e-05,XWC,Bittrex,
10,1546.0,0.02586458,1.673e-05,3558.60752056,0.06316528348994001,1.775e-05,XWC,Bittrex,
11,1000.0,0.01672,1.672e-05,6783.47362008,0.1219668556890384,1.798e-05,XWC,Bittrex,
12,1000.0,0.016710000000000003,1.671e-05,1552.51846936,0.027929807263786396,1.799e-05,XWC,Bittrex,
13,1000.0,0.0167,1.67e-05,2008.5658578,0.0361541854404,1.8e-05,XWC,Bittrex,
14,1000.0,0.01669,1.669e-05,50000.0,0.902,1.804e-05,XWC,Bittrex,
15,5000.0,0.0834,1.668e-05,36012.229258,0.6500207381069001,1.805e-05,XWC,Bittrex,
16,5000.0,0.08335000000000001,1.667e-05,15200.0,0.274816,1.808e-05,XWC,Bittrex,
17,5000.0,0.0833,1.666e-05,51073.80508124,0.9239251339196317,1.809e-05,XWC,Bittrex,
18,35.0,0.00058275,1.665e-05,100.0,0.00181,1.81e-05,XWC,Bittrex,
19,12289.64522909,0.2036394214460213,1.657e-05,157.56379101,0.0028534802551911,1.811e-05,XWC,Bittrex,
20,12554.87778475,0.20790877611546002,1.656e-05,100.0,0.001818,1.818e-05,XWC,Bittrex,
21,888.0,0.01468752,1.654e-05,10393.78952728,0.18916696939649597,1.82e-05,XWC,Bittrex,
22,888.0,0.01467864,1.653e-05,100.60049407,0.0018349530118368,1.824e-05,XWC,Bittrex,
23,888.0,0.01466976,1.652e-05,3500.0,0.063875,1.825e-05,XWC,Bittrex,
24,6000.0,0.099,1.65e-05,500.0,0.00933,1.866e-05,XWC,Bittrex,
25,888.0,0.014643119999999999,1.649e-05,1106.7122121,0.020673384122028002,1.868e-05,XWC,Bittrex,
